# Element stress/strain results
# ElemID CenterX CenterY StrainX StrainY ShearXY StressX StressY ShearXY VonMises
0 0.025 0.025 7.73485e-05 -1.0633e-05 3.55865e-05 1.71135e+07 2.90113e+06 2.87429e+06 1.6626e+07
1 0.075 0.025 6.87276e-05 -1.98693e-05 1.29944e-05 1.44847e+07 172838 1.04955e+06 1.45133e+07
2 0.125 0.025 6.141e-05 -1.79448e-05 8.37131e-06 1.29292e+07 110358 676144 1.29275e+07
3 0.175 0.025 5.57824e-05 -1.66586e-05 7.08349e-06 1.17196e+07 17572.7 572128 1.17527e+07
4 0.225 0.025 5.06329e-05 -1.51709e-05 6.77466e-06 1.06342e+07 4382.95 547184 1.06742e+07
5 0.275 0.025 4.56312e-05 -1.36985e-05 6.76369e-06 9.58192e+06 -2097.84 546298 9.62957e+06
6 0.325 0.025 4.06323e-05 -1.22036e-05 6.84094e-06 8.53182e+06 -3209.23 552537 8.58692e+06
7 0.375 0.025 3.55958e-05 -1.06904e-05 6.92607e-06 7.47431e+06 -2697.55 559414 7.53819e+06
8 0.425 0.025 3.05238e-05 -9.16173e-06 6.98057e-06 6.40967e+06 -1061.72 563815 6.48416e+06
9 0.475 0.025 2.54451e-05 -7.62596e-06 6.97324e-06 5.34399e+06 1745.9 563223 5.43145e+06
10 0.525 0.025 2.04144e-05 -6.09742e-06 6.86433e-06 4.28889e+06 6208.11 554426 4.39206e+06
11 0.575 0.025 1.55197e-05 -4.59987e-06 6.59791e-06 3.26303e+06 12935.2 532908 3.38486e+06
12 0.625 0.025 1.08927e-05 -3.17101e-06 6.10224e-06 2.29418e+06 22341.4 492873 2.43747e+06
13 0.675 0.025 6.71532e-06 -1.86674e-06 5.3019e-06 1.42045e+06 34121.3 428231 1.58762e+06
14 0.725 0.025 3.21284e-06 -7.61969e-07 4.14741e-06 688673 46588.4 334983 883741
15 0.775 0.025 6.21156e-07 5.69136e-08 2.66324e-06 147284 56137 215108 394195
16 0.825 0.025 -8.81945e-07 5.12569e-07 1.00501e-06 -168040 57227.3 81173.7 246772
17 0.875 0.025 -1.27885e-06 5.69827e-07 -4.92993e-07 -255670 42962.7 -39818.7 288017
18 0.925 0.025 -8.24088e-07 2.69197e-07 -1.29028e-06 -171537 5070.14 -104215 250804
19 0.975 0.025 -1.48648e-07 -1.40642e-07 -7.61624e-07 -44040 -42746.8 -61515.8 115051
20 0.025 0.075 5.15925e-05 -4.01354e-06 3.15774e-05 1.16281e+07 2.64558e+06 2.55049e+06 1.14439e+07
21 0.075 0.075 5.44744e-05 -1.09269e-05 2.9966e-05 1.18145e+07 1.24971e+06 2.42033e+06 1.19981e+07
22 0.125 0.075 5.16446e-05 -1.39346e-05 2.28754e-05 1.09533e+07 359731 1.84763e+06 1.1243e+07
23 0.175 0.075 4.76554e-05 -1.37424e-05 1.99381e-05 1.0046e+07 127895 1.61039e+06 1.0365e+07
24 0.225 0.075 4.35885e-05 -1.29384e-05 1.88399e-05 9.16315e+06 31888.5 1.52168e+06 9.51939e+06
25 0.275 0.075 3.95626e-05 -1.18705e-05 1.85487e-05 8.30802e+06 -389.952 1.49817e+06 8.70402e+06
26 0.325 0.075 3.5571e-05 -1.07153e-05 1.85601e-05 7.46686e+06 -10162.5 1.49909e+06 7.91023e+06
27 0.375 0.075 3.15962e-05 -9.51905e-06 1.86482e-05 6.63241e+06 -9278.34 1.5062e+06 7.13137e+06
28 0.425 0.075 2.76322e-05 -8.29821e-06 1.86924e-05 5.80218e+06 -1970.48 1.50977e+06 6.36513e+06
29 0.475 0.075 2.36864e-05 -7.05502e-06 1.86008e-05 4.97767e+06 11745.4 1.50238e+06 5.61162e+06
30 0.525 0.075 1.97802e-05 -5.78747e-06 1.8271e-05 4.16399e+06 33826.9 1.47573e+06 4.87159e+06
31 0.575 0.075 1.59528e-05 -4.4957e-06 1.75706e-05 3.37018e+06 66956.7 1.41917e+06 4.14476e+06
32 0.625 0.075 1.22675e-05 -3.1909e-06 1.6337e-05 2.61005e+06 112926 1.31953e+06 3.42838e+06
33 0.675 0.075 8.8191e-06 -1.90832e-06 1.4402e-05 1.90306e+06 170171 1.16323e+06 2.71774e+06
34 0.725 0.075 5.73945e-06 -7.22756e-07 1.16555e-05 1.27445e+06 230557 941408 2.01055e+06
35 0.775 0.075 3.19054e-06 2.42096e-07 8.15315e-06 753039 276752 658524 1.31766e+06
36 0.825 0.075 1.3328e-06 8.24211e-07 4.24355e-06 364630 282473 342748 679836
37 0.875 0.075 2.66329e-07 8.62754e-07 6.52414e-07 121190 217535 52694.9 209704
38 0.925 0.075 -3.3175e-08 2.63872e-07 -1.59479e-06 10612.3 58596.9 -128810 229566
39 0.975 0.075 2.18088e-07 -8.18685e-07 -1.42429e-06 -6350.25 -173829 -115039 262402
40 0.025 0.125 3.83528e-05 -1.96559e-06 2.74772e-05 8.71458e+06 2.2016e+06 2.21931e+06 8.73962e+06
41 0.075 0.125 4.00519e-05 -6.0311e-06 3.13551e-05 8.82522e+06 1.38103e+06 2.53253e+06 9.31906e+06
42 0.125 0.125 4.03348e-05 -9.21638e-06 3.07482e-05 8.66998e+06 665554 2.48351e+06 9.39919e+06
43 0.175 0.125 3.86083e-05 -1.04701e-05 2.89589e-05 8.18476e+06 256707 2.33899e+06 9.02041e+06
44 0.225 0.125 3.60811e-05 -1.04574e-05 2.79957e-05 7.60244e+06 84673.3 2.26119e+06 8.51466e+06
45 0.275 0.125 3.32868e-05 -9.93344e-06 2.76095e-05 6.99386e+06 12136.3 2.23e+06 7.98424e+06
46 0.325 0.125 3.04189e-05 -9.17846e-06 2.75216e-05 6.3843e+06 -12186.3 2.2229e+06 7.46064e+06
47 0.375 0.125 2.754e-05 -8.3179e-06 2.75328e-05 5.77952e+06 -12901.2 2.2238e+06 6.95079e+06
48 0.425 0.125 2.46636e-05 -7.39132e-06 2.75109e-05 5.17988e+06 1786.99 2.22203e+06 6.45246e+06
49 0.475 0.125 2.17846e-05 -6.39903e-06 2.73435e-05 4.58422e+06 31469.4 2.20852e+06 5.95856e+06
50 0.525 0.125 1.88911e-05 -5.32029e-06 2.69045e-05 3.99115e+06 80084.1 2.17305e+06 5.45734e+06
51 0.575 0.125 1.59694e-05 -4.12636e-06 2.60316e-05 3.39958e+06 153339 2.10255e+06 4.93169e+06
52 0.625 0.125 1.30136e-05 -2.79685e-06 2.45189e-05 2.80951e+06 255514 1.98038e+06 4.35964e+06
53 0.675 0.125 1.00425e-05 -1.34775e-06 2.21321e-05 2.22419e+06 384231 1.78759e+06 3.71841e+06
54 0.725 0.125 7.12962e-06 1.27898e-07 1.86713e-05 1.65415e+06 523104 1.50807e+06 2.99456e+06
55 0.775 0.125 4.43471e-06 1.41938e-06 1.41035e-05 1.12166e+06 634568 1.13913e+06 2.20043e+06
56 0.825 0.125 2.21087e-06 2.19498e-06 8.76078e-06 662160 659593 707602 1.39243e+06
57 0.875 0.125 7.41276e-07 2.08097e-06 3.50334e-06 315131 531544 282962 674198
58 0.925 0.125 2.01672e-07 8.42024e-07 -3.25394e-07 104834 208275 -26281.8 186028
59 0.975 0.125 5.08931e-07 -1.46495e-06 -1.16813e-06 16026.1 -302831 -94349.1 351457
60 0.025 0.175 2.79373e-05 -1.18137e-06 2.52755e-05 6.36529e+06 1.6615e+06 2.04148e+06 6.72343e+06
61 0.075 0.175 2.92154e-05 -3.73044e-06 3.07329e-05 6.48375e+06 1.16173e+06 2.48227e+06 7.37165e+06
62 0.125 0.175 2.98478e-05 -6.07353e-06 3.32642e-05 6.46749e+06 664805 2.68672e+06 7.7218e+06
63 0.175 0.175 2.95041e-05 -7.49357e-06 3.38653e-05 6.28986e+06 313310 2.73527e+06 7.75468e+06
64 0.225 0.175 2.83541e-05 -8.00125e-06 3.37747e-05 5.98933e+06 116536 2.72796e+06 7.58373e+06
65 0.275 0.175 2.68141e-05 -7.93479e-06 3.36433e-05 5.63853e+06 25253.8 2.71734e+06 7.33506e+06
66 0.325 0.175 2.51183e-05 -7.57657e-06 3.35741e-05 5.27199e+06 -9482.76 2.71175e+06 7.06434e+06
67 0.375 0.175 2.33676e-05 -7.06107e-06 3.35425e-05 4.90369e+06 -11717.6 2.7092e+06 6.7914e+06
68 0.425 0.175 2.15892e-05 -6.43694e-06 3.34852e-05 4.53649e+06 9191.8 2.70457e+06 6.51785e+06
69 0.475 0.175 1.97698e-05 -5.69885e-06 3.33223e-05 4.16772e+06 53557.2 2.69141e+06 6.23544e+06
70 0.525 0.175 1.78695e-05 -4.80769e-06 3.29497e-05 3.79089e+06 127653 2.66132e+06 5.92884e+06
71 0.575 0.175 1.58279e-05 -3.70418e-06 3.22228e-05 3.39615e+06 240965 2.60261e+06 5.57622e+06
72 0.625 0.175 1.35719e-05 -2.32855e-06 3.09355e-05 2.97078e+06 402239 2.49864e+06 5.14994e+06
73 0.675 0.175 1.1039e-05 -6.58273e-07 2.88052e-05 2.50189e+06 612331 2.32657e+06 4.61966e+06
74 0.725 0.175 8.22792e-06 1.22205e-06 2.54868e-05 1.98335e+06 851636 2.05855e+06 3.96014e+06
75 0.775 0.175 5.28663e-06 3.02778e-06 2.06899e-05 1.42961e+06 1.06471e+06 1.67111e+06 3.1675e+06
76 0.825 0.175 2.58109e-06 4.21508e-06 1.44576e-05 887448 1.1514e+06 1.16773e+06 2.27646e+06
77 0.875 0.175 6.61718e-07 4.08196e-06 7.58351e-06 435301 987802 612514 1.3641e+06
78 0.925 0.175 -1.63183e-08 2.1021e-06 1.81551e-06 141764 483971 146637 500223
79 0.975 0.175 5.95344e-07 -1.69733e-06 -5.97103e-07 19879.8 -350475 -48227.5 370369
80 0.025 0.225 1.88348e-05 -8.21703e-07 2.36401e-05 4.2896e+06 1.11432e+06 1.90939e+06 5.07934e+06
81 0.075 0.225 1.98011e-05 -2.5021e-06 2.97091e-05 4.39626e+06 793436 2.39959e+06 5.80883e+06
82 0.125 0.225 2.05133e-05 -4.04025e-06 3.36554e-05 4.45413e+06 487785 2.71832e+06 6.33027e+06
83 0.175 0.225 2.0779e-05 -5.1339e-06 3.56414e-05 4.43974e+06 253801 2.87873e+06 6.59622e+06
84 0.225 0.225 2.06385e-05 -5.73494e-06 3.64086e-05 4.36571e+06 105375 2.94069e+06 6.67484e+06
85 0.275 0.225 2.02287e-05 -5.95718e-06 3.66196e-05 4.25575e+06 25719 2.95774e+06 6.65186e+06
86 0.325 0.225 1.96852e-05 -5.93706e-06 3.6645e-05 4.1317e+06 -7270.74 2.95979e+06 6.58651e+06
87 0.375 0.225 1.90772e-05 -5.76179e-06 3.66224e-05 4.00355e+06 -8911.98 2.95796e+06 6.50482e+06
88 0.425 0.225 1.84224e-05 -5.45986e-06 3.6583e-05 3.87333e+06 15429.5 2.95478e+06 6.41368e+06
89 0.475 0.225 1.76982e-05 -5.01406e-06 3.65109e-05 3.73708e+06 68172.8 2.94896e+06 6.3091e+06
90 0.525 0.225 1.68469e-05 -4.36892e-06 3.63617e-05 3.58528e+06 158113 2.9369e+06 6.17969e+06
91 0.575 0.225 1.5774e-05 -3.43738e-06 3.60543e-05 3.40219e+06 298806 2.91208e+06 6.00734e+06
92 0.625 0.225 1.43483e-05 -2.11329e-06 3.54409e-05 3.16485e+06 505664 2.86253e+06 5.76662e+06
93 0.675 0.225 1.2414e-05 -3.04796e-07 3.42503e-05 2.84367e+06 789093 2.76637e+06 5.42435e+06
94 0.725 0.225 9.83985e-06 1.98874e-06 3.20135e-05 2.40842e+06 1.14016e+06 2.58571e+06 4.94086e+06
95 0.775 0.225 6.64495e-06 4.50766e-06 2.80258e-05 1.84552e+06 1.50026e+06 2.26362e+06 4.27317e+06
96 0.825 0.225 3.24219e-06 6.52625e-06 2.16672e-05 1.20002e+06 1.73052e+06 1.75005e+06 3.39795e+06
97 0.875 0.225 5.02265e-07 6.82573e-06 1.31844e-05 588458 1.60994e+06 1.06489e+06 2.32224e+06
98 0.925 0.225 -5.07087e-07 4.23043e-06 4.72618e-06 175856 941148 381730 1.09011e+06
99 0.975 0.225 4.72188e-07 -1.36137e-06 -2.57786e-08 14718.1 -281471 -2082.12 289134
100 0.025 0.275 1.01283e-05 -6.07987e-07 2.22389e-05 2.29521e+06 560886 1.79622e+06 3.73824e+06
101 0.075 0.275 1.09031e-05 -1.66439e-06 2.85079e-05 2.40087e+06 370740 2.30256e+06 4.57351e+06
102 0.125 0.275 1.16032e-05 -2.46584e-06 3.28262e-05 2.50694e+06 234256 2.65134e+06 5.18085e+06
103 0.175 0.275 1.22859e-05 -3.10688e-06 3.521e-05 2.62013e+06 133593 2.84388e+06 5.5494e+06
104 0.225 0.275 1.29443e-05 -3.62003e-06 3.6272e-05 2.73653e+06 60752.6 2.92966e+06 5.75107e+06
105 0.275 0.275 1.35659e-05 -4.00848e-06 3.66416e-05 2.85308e+06 14143.7 2.95951e+06 5.86311e+06
106 0.325 0.275 1.41442e-05 -4.27802e-06 3.67253e-05 2.96788e+06 -8018.77 2.96627e+06 5.93536e+06
107 0.375 0.275 1.46852e-05 -4.4375e-06 3.67237e-05 3.08168e+06 -7371.84 2.96614e+06 5.99279e+06
108 0.425 0.275 1.51836e-05 -4.48376e-06 3.67284e-05 3.19348e+06 16455 2.96653e+06 6.0454e+06
109 0.475 0.275 1.5611e-05 -4.38686e-06 3.67868e-05 3.29882e+06 68406.6 2.97124e+06 6.09476e+06
110 0.525 0.275 1.59067e-05 -4.08319e-06 3.69303e-05 3.38809e+06 158959 2.98284e+06 6.1366e+06
111 0.575 0.275 1.59666e-05 -3.47003e-06 3.71775e-05 3.44438e+06 304607 3.0028e+06 6.16098e+06
112 0.625 0.275 1.56287e-05 -2.40315e-06 3.75064e-05 3.44025e+06 527412 3.02936e+06 6.15062e+06
113 0.675 0.275 1.46583e-05 -7.04446e-07 3.77789e-05 3.33392e+06 852242 3.05137e+06 6.07722e+06
114 0.725 0.275 1.27521e-05 1.7882e-06 3.75747e-05 3.0666e+06 1.2955e+06 3.03488e+06 5.89415e+06
115 0.775 0.275 9.62292e-06 5.07852e-06 3.59271e-05 2.57226e+06 1.83817e+06 2.90181e+06 5.52527e+06
116 0.825 0.275 5.31773e-06 8.50484e-06 3.10165e-05 1.81597e+06 2.33081e+06 2.50518e+06 4.82965e+06
